Are you a University Student?,Study Program ,Year ,Do you use any kind of social media?,How many social media do you use?,Do you think social media made human life easier?,"Do you think social media like ( Zoom, Google classroom, Google meet, Skype ) made our work life more easier during the covid-19 pandemic situation?",Best social media for video conference?,How Many hours do you spent on social media ?,Do you think social media like (Tiktok and like) should be banned in India?,"How many times do you look at social media
", What are the main Advantages of social media,What are the main disadvantages of social media,What are the main reasons why you use social media ?,"Do you think teachers should use social media such as youtube, blog, fb,insta for teaching purpose?",Do you think that social media is the best way for teachers to stay in touch with students?,Do you think you will achieve better results if social media is integrated ?,Are you worried about potential abuse on social media,Lectures should increase and encourage the use of social media in the classroom,Social media provides useful platforms for academic group work?,Do you think in this pandemic situation using social media is a good choice for student?,Is social media helps to develop communication skills?,Do you think personal data is safe on social media ?, How responsive the teachers in online class?, Do you think teachers are friendly in online class,Is it possible to everyone to use social network for study purpose,Do you think that you and your peers will achieve better results if Social Media is integrated into lessons?,How would you rate that Communicating information from the school to parents., How would you ratethat An increasing number of educational institutions are using social media for promotional reasons,How would you rate that Schools are beginning to use Facebook groups to communicate with students.,"How would you rate that Members of the groups can exchange files, links, information, polls and videos very quickly",How would you rate that the Students and teachers can share information with one another.,How Pinterest is great for sharing web resources that students will find interesting or relevant.,Which of the following social media platforms do you use?  ,Do you use Social Media to communicate with your teachers?,Is Social Media a tool that should be utilised by teachers?
YES,BBA LLB,5th year,YES,1-5,AGREE,AGREE,ZOOM,1-3,YES,4-9,COMMUNICATION,TIME CONSUMING,CHATTING,YES,MAYBE,MAYBE,MAYBE,NEITHER,AGREE,MAYBE,MAYBE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,MAYBE,MAYBE
YES,Btech,4,YES,6-9,SOMEWHAT AGREE,DISAGREE,GOOGLE,4-6,NO,4-9,ONLINE CLASS,LAZINNESS,FOR STUDY,MAYBE,MAYBE,MAYBE,NO,DISAGREE,DISAGREE,NO,YES,YES,RESPONSIVE,SOMEWHAT FRIENDLY,YES,MAYBE,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Facebook,YES,NO
YES,Mba,1,YES,1-5,AGREE,AGREE,ZOOM,1-3,NEITHER,10+,COMMUNICATION,TIME CONSUMING,CHATTING,YES,YES,YES,MAYBE,AGREE,AGREE,YES,YES,NO,NEUTRAL,NEUTRAL,YES,YES,AVERAGE,AVERAGE,EXCELLENT,EXCELLENT,AVERAGE,EXCELLENT,Instagram,YES,YES
YES,"BA,LLB",4th year,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,1-3,YES,1-3,COMMUNICATION,TIME CONSUMING,FOR STUDY,NO,YES,MAYBE,YES,DISAGREE,DISAGREE,MAYBE,MAYBE,NO,RESPONSIVE,FRIENDLY,NO,MAYBE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,YES,NO
YES,BBA(FT),2nd,YES,1-5,NEITHER,AGREE,ZOOM,1-3,YES,4-9,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,MAYBE,NEUTRAL,NEUTRAL,SOMEWHAT AGREE,SOMEWHAT AGREE,MAYBE,MAYBE,NEUTRAL,NEUTRAL,SOMEWHAT FRIENDLY,NO,NEUTRAL,EXCELLENT,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,NEUTRAL,MAYBE
YES,BBA Foreign Trade ,2nd,YES,1-5,SOMEWHAT AGREE,AGREE,ZOOM,4-6,YES,4-9,OTHERS,CYBERBULLYING,OTHERS,MAYBE,MAYBE,YES,YES,SOMEWHAT AGREE,SOMEWHAT AGREE,YES,YES,NO,NOT RESPONSIVE,SOMEWHAT FRIENDLY,NO,MAYBE,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,MAYBE,YES
YES,Bba ft,2,YES,1-5,AGREE,AGREE,GOOGLE,4-6,YES,4-9,ONLINE CLASS,TIME CONSUMING,CHATTING,NO,MAYBE,YES,YES,DISAGREE,AGREE,YES,YES,,RESPONSIVE,FRIENDLY,YES,YES,EXCELLENT,AVERAGE,POOR,AVERAGE,EXCELLENT,AVERAGE,Linkedin,YES,NO
YES,foreign trade ,2024,YES,10+,AGREE,AGREE,ZOOM,7+,YES,10+,OTHERS,TIME CONSUMING,OTHERS,NO,YES,NO,NO,AGREE,AGREE,YES,YES,YES,RESPONSIVE,FRIENDLY,YES,YES,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,YES
YES,BBA-FOREIGN TRADE,2nd,YES,10+,SOMEWHAT AGREE,NEITHER,GOOGLE,1-3,YES,4-9,COMMUNICATION,LAZINNESS,OTHERS,MAYBE,NO,NO,YES,DISAGREE,AGREE,YES,NEUTRAL,NO,SOMEWHAT RESPONSIVE,SOMEWHAT FRIENDLY,NO,YES,AVERAGE,POOR,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Other,NO,MAYBE
YES,Bba foreign trade,2021-24,YES,1-5,AGREE,AGREE,GOOGLE,1-3,NEITHER,10+,COMMUNICATION,LAZINNESS,CHATTING,NEUTRAL,MAYBE,NO,NO,NEITHER,AGREE,YES,YES,NEUTRAL,RESPONSIVE,FRIENDLY,NO,NO,AVERAGE,AVERAGE,AVERAGE,AVERAGE,,,Linkedin,NO,NEUTRAL
YES,BBA-FT ,2,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,4-6,NO,4-9,COMMUNICATION,LAZINNESS,CHATTING,MAYBE,NEUTRAL,NEUTRAL,YES,NEITHER,AGREE,NEUTRAL,NEUTRAL,NEUTRAL,NOT RESPONSIVE,FRIENDLY,NO,NEUTRAL,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Linkedin,YES,YES
YES,B.Com(Hons.),2nd,YES,1-5,AGREE,AGREE,GOOGLE,1-3,NEITHER,4-9,COMMUNICATION,TIME CONSUMING,OTHERS,YES,YES,YES,MAYBE,AGREE,AGREE,YES,YES,MAYBE,RESPONSIVE,FRIENDLY,YES,YES,AVERAGE,EXCELLENT,AVERAGE,AVERAGE,EXCELLENT,AVERAGE,Instagram,YES,YES
YES,BBA FOREIGN TRADE ,2,YES,6-9,SOMEWHAT AGREE,AGREE,GOOGLE,1-3,NO,4-9,ONLINE CLASS,TIME CONSUMING,OTHERS,MAYBE,MAYBE,MAYBE,MAYBE,SOMEWHAT AGREE,AGREE,YES,YES,MAYBE,RESPONSIVE,SOMEWHAT FRIENDLY,MAYBE,MAYBE,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Linkedin,YES,MAYBE
YES,BBA Ft,2,YES,1-5,AGREE,AGREE,ZOOM,1-3,YES,10+,COMMUNICATION,LAZINNESS,OTHERS,NO,MAYBE,YES,NEUTRAL,NEITHER,AGREE,YES,YES,YES,RESPONSIVE,NEUTRAL,NO,MAYBE,AVERAGE,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,AVERAGE,Instagram,NEUTRAL,NEUTRAL
YES,Bsc H chemistry ,3,YES,1-5,SOMEWHAT AGREE,AGREE,SKYPE,4-6,YES,4-9,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,MAYBE,MAYBE,YES,SOMEWHAT AGREE,AGREE,YES,MAYBE,NO,SOMEWHAT RESPONSIVE,SOMEWHAT FRIENDLY,NO,NO,AVERAGE,AVERAGE,POOR,AVERAGE,AVERAGE,AVERAGE,Other,MAYBE,YES
YES,BA (Mass Communication),3,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,10+,COMMUNICATION,TIME CONSUMING,CHATTING,YES,YES,NO,YES,DISAGREE,AGREE,MAYBE,MAYBE,NO,RESPONSIVE,FRIENDLY,NO,NO,AVERAGE,POOR,VERY POOR,EXCELLENT,EXCELLENT,AVERAGE,Instagram,YES,YES
YES,BA  Liberal Arts,3rd year,YES,1-5,NEITHER,AGREE,GOOGLE,4-6,NO,10+,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,NO,NEUTRAL,YES,DISAGREE,AGREE,NEUTRAL,MAYBE,NO,RESPONSIVE,SOMEWHAT FRIENDLY,MAYBE,YES,EXCELLENT,AVERAGE,AVERAGE,EXCELLENT,EXCELLENT,EXCELLENT,Twitter,YES,MAYBE
